Zpid,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,Price Square FeetPrice/sqft,Bedrooms,Bathrooms,Full bathrooms,Features,Flooring,Heating features,Cooling features,Laundry features,Interior features,Total structure area,Total interior livable area,Total number of fireplaces,Fireplace features,Total spaces,Parking features,Garage spaces,Covered spaces,Levels,Stories,Pool features,Exterior features,Lot features,Special conditions,Home type,Architectural style,Property subType,Construction materials,Roof,Property condition,New construction,Year built,Electric information,Water information,Region,Subdivision,HOA fee,Amenities included,Services included,Association name,Association phone,Price Range,Listing Terms,Appliances included,Patio and porch details,Sewer information,Security features,Window features,Accessibility features,View description,Builder name,Entry location
19262412,Condominium,1974,"Baseboard, Electric, Fireplace(s), Gas",None,1 Garage space,$580 monthly,$823,1,1,1," Granite, Low-Flow Shower(s), Shower Stall(s), Tile"," Carpet, Tile"," Baseboard, Electric, Fireplace(s), Gas",None," Electric, Inside Area, See Remarks",,789,789 sqft,1," Gas Piped, Gas Starter, Living Room, Raised Hearth, See Remarks",1," Assigned, Covered, Private, Restrictions, Side-by-Side, Underground",1,1,,," Built-In, Community, Association",Balcony," Auto Sprinkler F&R, Curb(s)/Gutter(s), Greenbelt, Landscape Back, Landscape Front, Landscape Misc",Offer As Is,Condo,Contemporary,Condominium," Frame, Shingle Siding, Wood",,,No,1974," 220 Volts in Kitchen, 220 Volts in Laundry",Public,Mill Valley,,$580 monthly,Trail(s)," Common Areas, Gas, Insurance, Insurance on Structure, Maintenance Structure, Maintenance Grounds, Management, Pool, Roof, Sewer, Trash, Water",Strawberry Cove,415-345-1270,,," Dishwasher, Disposal, Free-Standing Electric Range, Free-Standing Refrigerator, Microwave, Washer/Dryer Stacked",Covered Deck," Public Sewer, See Remarks"," Carbon Monoxide Detector(s), Fire Alarm, Smoke Detector(s)",,Accessible Elevator Installed," Bay, City Lights, Forest, Hills, Mountain(s), Mt Tamalpais, Water, Trees/Woods",,
19254963,Single Family Residence,1988,Radiant,"Central Air, Ceiling Fan(s)",2 Garage spaces,,$872,5,6,5," Sitting Area, Closet, Balcony",Wood,Radiant," Central Air, Ceiling Fan(s)",Inside Room," Beamed Ceilings, Formal Entry, Cathedral Ceiling(s)"," 5,448"," 5,448 sqft",3," Wood Burning, Stone, Master Bedroom, Living Room, Gas",4," Garage Faces Front, Garage Door Opener, Enclosed",2,2,,3,None,Balcony,Landscape Misc,Standard,SingleFamily,Other,Single Family Residence," Wood, Shingle Siding, Frame",Shingle,Updated/Remodeled,No,1988,,Public,Mill Valley,,,,,,,$4.8M - $4.8M,," Range Hood, Double Oven, Dishwasher, Washer, Dryer"," Uncovered Deck, Deck",Public Sewer,," Window Coverings, Greenhouse Window(s), Bay Window(s), Skylight(s)",," Trees/Woods, Valley, Ridge, Mt Tamalpais, Garden",,
2104848779,Unimproved Land,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See Remarks,Mill Valley,,,,,,,,,,,,,,,,,
19264387,Single Family Residence,1953,Central,Other,1 Garage space,,$942,3,2,2," Balcony, Closet, Sitting Area",Wood,Central,Other,In Garage,Cathedral Ceiling(s)," 1,800"," 1,800 sqft",3,Gas Piped,2," Private, Paved Driveway",1,1,Two,2,None,Uncovered Courtyard," Landscape Front, Low Maintenance",Standard,SingleFamily,,Single Family Residence," Stucco, Wood Siding",Composition,,,1953,,Water District,Mill Valley,,,,,,,,," Dishwasher, Free-Standing Gas Range, Free-Standing Refrigerator, Dryer, Washer",,Public Sewer,,,," Hills, Mountain(s)",Christina Brennan,
19265615,Single Family Residence,1959,"Central, Fireplace(s), Natural Gas, Wood Stove",None,1 Garage space,,$802,3,2,2,Walk-In Closet(s)," Parquet, Stone, Tile, Wood"," Central, Fireplace(s), Natural Gas, Wood Stove",None," Gas Hook-Up, Inside Area",Open Beam Ceiling," 1,864"," 1,864 sqft",1," Free Standing, Living Room, Wood Burning, Wood Burning Stove",3," 24'+ Deep Garage, Garage Door Opener, Garage Faces Front, Uncovered Parking Space, Workshop in Garage, Gravel, Paved Driveway",1,1,Two,2,None,Balcony," Auto Sprinkler Front, Auto Sprinkler Rear, Landscape Front",Offer As Is,SingleFamily,Contemporary,Single Family Residence," Ceiling Insulation, Concrete, Frame, Glass, Partial Insulation, Wall Insulation, Wood Siding"," Flat,Foam",,No,1959,220 Volts in Kitchen," Public, Water District",Mill Valley,Almonte,,,,,,,," Built-In Electric Oven, Built-In Refrigerator, Dishwasher, Disposal, Dual Fuel, ENERGY STAR Qualified Appliances, Free-Standing Gas Oven, Free-Standing Gas Range, Gas Water Heater, Microwave, Self Cleaning Oven, Tankless Water Heater, Dryer, Washer, Was",Uncovered Deck,Public Sewer," Carbon Monoxide Detector(s), Security System Leased, Smoke Detector(s)",Skylight(s),,Hills,,
19262457,"Condominium, Low-Rise (1-3)",1974,Baseboard,None,1 Attached Garage space,$585 monthly,$830,1,1,1,,,Baseboard,None,,,789,789 sqft,1,Living Room,1," Assigned, Attached, Enclosed, Side-by-Side",1,1,,3," Built-In, Community, Association",,Greenbelt,Standard,Condo,," Condominium, Low-Rise (1-3)",,,,,1974,,Water District,Mill Valley,,$585 monthly,," Homeowners Insurance, Insurance on Structure, Maintenance Structure, Maintenance Grounds, Management, Pool, Roof, Trash, Water",Strawberry Cove,415-345-1270,,," Dryer, Stacked Only, Washer",Enclosed Deck,Public Sewer,,,," Bay, Garden/Greenbelt, Mt Tamalpais, Park/Greenbelt",,
80745492,Single Family Residence,1961,"Baseboard, Electric, Radiant",None,2 Attached Garage spaces,,$800,5,5,4," Sitting Area, Walk-In Closet 2+"," Carpet, Tile, Wood"," Baseboard, Electric, Radiant",None,Hookups Only,," 4,243"," 4,243 sqft",1," Free Standing, Living Room",6," Attached, Enclosed, Garage Door Opener, Inside Entrance",2,2,Two,2,None,," Greenbelt, Other",Standard,SingleFamily,Contemporary,Single Family Residence,,,,,1961,220 Volts in Laundry," Public, Cistern",Mill Valley,,,,,,,,," Built-In Electric Oven, Built-In Gas Range, Built-In Refrigerator, Dishwasher, Disposal, Double Oven, Range Hood, Microwave",,Sewer in Street,Fire Suppression System,,Accessible Elevator Installed,Hills,,
19257004,Single Family Residence,1975,"Central, Fireplace(s), MultiZone",Central Air,4 Garage spaces,,"$1,192",6,6,5," Sitting Room, Walk-In Closet 2+"," Carpet, Linoleum, Marble, Slate, Wood"," Central, Fireplace(s), MultiZone",Central Air," Cabinets, Ground Floor, Inside Room"," Cathedral Ceiling(s), Formal Entry, Wet Bar"," 7,545"," 7,545 sqft",1," Double Sided, Gas Starter, Living Room",10," Detached, Enclosed, Garage Door Opener, Mechanical Lift, Side-by-Side, Shared Driveway",4,4,Three Or More,3," Built-In, Gas Heat, Pool Cover"," Balcony, Entry Gate"," Dead End, Private, Secluded, Gated",Notice Of Default,SingleFamily,Arts & Crafts,Single Family Residence,Wood Siding,Other,,,1975," 220 Volts, Generator"," Public, Cistern, Water District",Mill Valley,,,,,,,,," Built-In Freezer, Built-In Gas Range, Built-In Refrigerator, Trash Compactor, Dishwasher, Disposal, Free-Standing Refrigerator, Gas Cooktop, Ice Maker, Microwave, Wine Refrigerator, Dryer, Washer"," Covered Deck, Front Porch, Wrap Around Porch",Public Sewer," Carbon Monoxide Detector(s), Fire Alarm, Fire Extinguisher, Security Gate, Security System Owned, Smoke Detector(s), Unguarded Gate",Skylight(s),," Bay, Bay Bridge, City, City Lights, Hills, Mountain(s), Mt Diablo, Mt Tamalpais, Panoramic, San Francisco",,
61243264,Single Family Residence,1976,"Solar, Fireplace(s), Central",None,2 Attached Garage spaces,,$910,5,3,3," Kitchen Island, Breakfast Area"," Wood, Carpet"," Solar, Fireplace(s), Central",None,Inside Room," Storage, Beamed Ceilings, Formal Entry, Cathedral Ceiling(s)"," 3,290"," 3,290 sqft",1,Living Room,4," Garage Faces Front, Garage Door Opener, Enclosed, Attached, Driveway",2,2,Multi/Split,3,In Ground,," Private, Cul-De-Sac",Standard,SingleFamily,,Single Family Residence,,,Updated/Remodeled,No,1976,,Public,Mill Valley,,,,,,,$3M - $3M,,,Uncovered Deck,Public Sewer,,Skylight(s),," Trees/Woods, San Francisco, Ridge, Garden, Forest, Bay",,
2143857754,Residential Lot,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Mill Valley,,,,,,,,,,,Public Sewer,,,,,,
2069807138,2 Houses on Lot,No Data,"Central, Gas",Central Air,5 Garage spaces,,$780,3,4,3," Ground Floor, Walk-In Closet(s)"," Tile, Wood"," Central, Gas",Central Air," Hookups Only, Inside Room"," Cathedral Ceiling(s), Formal Entry, Storage"," 5,122"," 5,122 sqft",1," Gas Piped, Living Room, Raised Hearth",5," No Garage, Side-by-Side, Uncovered Parking Spaces 2+, See Remarks, Paved Driveway",,," One,Two",2,None,Uncovered Courtyard," Corner Lot, Landscape Front, Landscape Misc, Shape Regular"," Offer As Is,Standard",SingleFamily," Contemporary,Traditional",2 Houses on Lot," Shingle Siding, Wood, Wood Siding"," Composition,Shingle",,No,0,Other,Public,Mill Valley,,,,,,,,," Dishwasher, Free-Standing Gas Oven, Free-Standing Gas Range, Gas Water Heater, Range Hood, Microwave, Self Cleaning Oven"," Back Porch, Front Porch, Uncovered Deck, Uncovered Patio",Public Sewer,Other,Skylight(s),Other,Mt Tamalpais,,
2069808642,2 Houses on Lot,1946,"Radiant, Other",None,1 Parking space,,$739,4,3,3,Breakfast Area," Carpet, Wood"," Radiant, Other",None,Hookups Only,Formal Entry," 3,780"," 3,780 sqft",,,1," Other, Gravel",,,,2,None,," Corner Lot, Paved Sidewalk",Standard,SingleFamily," Contemporary,Cottage",2 Houses on Lot,Wood Siding,Composition,,,1946,,Water District,Mill Valley,,,,,,,,," Built-In Gas Range, Dishwasher, Disposal, Free-Standing Refrigerator",,Public Sewer," Carbon Monoxide Detector(s), Security System Owned, Smoke Detector(s)",,,,,
95716299,Unimproved Land,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Mill Valley,,,,,,,,,,,,,,,,,
95759757,Unimproved Land,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Mill Valley,,,,,,,$1.2M - $1.2M," Cash,Conventional",,,Public Sewer,,,,,,
19307658,Single Family Residence,1972,"Central, Electric, Fireplace(s), Natural Gas","Ceiling Fan(s), Whole House Fan",2 Attached Garage spaces,,$566,3,3,2," Walk-In Closet(s), Wet Bar"," Carpet, Laminate, Marble, Wood"," Central, Electric, Fireplace(s), Natural Gas"," Ceiling Fan(s), Whole House Fan"," Cabinets, Electric, In Basement, Inside Room, Laundry Closet"," Cathedral Ceiling(s), Formal Entry, Open Beam Ceiling, Wet Bar"," 2,957"," 2,957 sqft",3," Electric, Family Room, Free Standing, Living Room, Master Bedroom",2," Attached, Garage Door Opener, Inside Entrance, Side-by-Side, Paved Driveway",2,2," Multi/Split,Three Or More",3,None," Balcony, Dog Run, Entry Gate, Uncovered Courtyard"," Garden, Greenbelt, Landscape Misc, Private, Secluded, Paved Sidewalk",Offer As Is,SingleFamily," A-Frame,Contemporary,Mid-Century,Traditional",Single Family Residence," Frame, Shingle Siding, Wall Insulation, Wood, Wood Siding"," Bitumen,Composition,Shingle,Tar/Gravel",,No,1972,220 Volts in Laundry," Meter on Site, Public, Water District",Mill Valley,,,,,,,,," Built-In Electric Range, Built-In Freezer, Built-In Gas Oven, Built-In Gas Range, Built-In Refrigerator, Dishwasher, Disposal, Double Oven, Range Hood, Microwave, Dryer, Washer, Washer/Dryer Stacked"," Back Porch, Enclosed Patio, Front Porch, Uncovered Deck",Public Sewer,Smoke Detector(s),Skylight(s),Parking," Bay, Canyon, Garden/Greenbelt, Hills, Mountain(s), Mt Tamalpais, Park/Greenbelt, Trees/Woods",,
89036984,Single Family Residence,2011,"Fireplace(s), Radiant",None,2 Attached Garage spaces,,$816,4,5,3,Balcony," Stone, Wood"," Fireplace(s), Radiant",None,Inside Room," Cathedral Ceiling(s), Formal Entry, Storage"," 3,915"," 3,915 sqft",2," Living Room, Master Bedroom",2," Attached, Enclosed, Side-by-Side, Paved Driveway",2,2,Three Or More,4,None,," Garden, Landscape Back, Landscape Misc, Low Maintenance",Standard,SingleFamily,Contemporary,Single Family Residence," Stucco, Wood",Composition,,No,2011,,Public,Mill Valley,,,,,,,,," Built-In Freezer, Built-In Refrigerator, Dishwasher, Disposal, Double Oven, Gas Cooktop, Microwave, Wine Refrigerator",,Public Sewer," Carbon Monoxide Detector(s), Security System Leased, Smoke Detector(s), Video System",Skylight(s),," Hills, Panoramic, Ridge",,
80736517,Single Family Residence,1986,"Central, Solar",None,3 Attached Garage spaces,,"$1,121",6,6,4," Closet, Double Vanity, Outside Access, Tile, Tub"," Carpet, Tile, Wood"," Central, Solar",None,Inside Room,Wet Bar," 5,350"," 5,350 sqft",2," Living Room, Master Bedroom",3," Attached, Inside Entrance",3,3,,2,None,Entry Gate," Landscape Back, Private, Gated",Offer As Is,SingleFamily,Contemporary,Single Family Residence," Frame, Wood, Wood Siding",,,No,1986,,Public,Mill Valley,,,,,,,,," Built-In Gas Range, Built-In Refrigerator, Dishwasher, Double Oven, Range Hood, Microwave, Dryer, Washer",Uncovered Deck,Public Sewer," Carbon Monoxide Detector(s), Security Gate, Security System Owned, Smoke Detector(s)",Skylight(s),," Canyon, Hills, Panoramic",,
148611592,Single Family Residence,1952,"Central, Fireplace(s)",None,2 Carport spaces,,"$1,852",6,7,6," Breakfast Area, Kitchen Island, Skylight(s)",," Central, Fireplace(s)",None,Inside Area,Solar Tube(s)," 6,210"," 6,210 sqft",1,Wood Burning,8," Covered, Detached, Paved Driveway",,2,Multi/Split,3," Built-In, Solar Heat",Uncovered Courtyard," Dead End, Garden, Greenbelt, Private, Secluded, Irregular Lot, Gated",Standard,SingleFamily," Contemporary,Vintage",Single Family Residence," Shingle Siding, Stucco",,,,1952,," Private, Public, Cistern",Mill Valley,,,,,,,,," Built-In Gas Range, Dishwasher, Free-Standing Refrigerator",Uncovered Deck,Public Sewer,,Skylight(s),," City, City Lights, Downtown, Garden/Greenbelt, Hills, Mountain(s), Mt Tamalpais, Orchard, Panoramic, San Francisco",,
19264725,Single Family Residence,1991,"Central, Fireplace(s), Gas, MultiZone","Ceiling Fan(s), MultiZone, None",2 Attached Garage spaces,,$716,5,4,3," Granite, Marble, Shower Stall(s)"," Carpet, Marble, Wood"," Central, Fireplace(s), Gas, MultiZone"," Ceiling Fan(s), MultiZone, None",Inside Room,," 4,467"," 4,467 sqft",3," Family Room, Gas Starter, Living Room, Wood Burning",2," Attached, Garage Door Opener, Guest, Inside Entrance, Side-by-Side",2,2,,3,None,," Landscape Front, Private",Offer As Is,SingleFamily,Other,Single Family Residence," Redwood Siding, Other",Composition,,,1991,,Public,Mill Valley,Tam Valley,,,,,,,," Trash Compactor, Dishwasher, Disposal, Gas Water Heater, Microwave, Dryer, Washer",,Public Sewer,,,," Bay, City Lights, Forest, Garden/Greenbelt, Mountain(s), Valley, Water, Trees/Woods",,
19267010,"Condominium, Low-Rise (1-3)",1975,"Baseboard, Electric, Fireplace(s)",None,2 Garage spaces,"$1,200 monthly",$682,3,3,2," Quartz, Shower Stall(s), Stone"," Carpet, Parquet, Wood"," Baseboard, Electric, Fireplace(s)",None,Inside Room,Storage," 2,052"," 2,052 sqft",1," Living Room, Raised Hearth",2," Assigned, Covered, Enclosed, Garage Door Opener, Guest",2,2,One,1," Community, Fenced, Association",," Auto Sprinkler Rear, Low Maintenance",Standard,Condo,Contemporary," Condominium, Low-Rise (1-3)",,,,No,1975,,Public,Belvedere Tiburon,," $1,200 monthly",Tennis Court(s)," Common Areas, Insurance, Maintenance Structure, Maintenance Grounds, Management, Pool, Roof",Greenwood Bay HOA,415-444-1600,,," Dishwasher, Disposal, Electric Water Heater, Free-Standing Electric Range, Free-Standing Refrigerator, Range Hood",Enclosed Patio,Public Sewer,,,,Mountain(s),,
2108853304,Residential Lot,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Mill Valley,,,,,,,,,,,Public Sewer,,,,,,
2072283332,Residential Lot,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electric TBD,TBD,Mill Valley,,,,,,,,,,,TBD,,,,,,
2071770088,Residential Lot,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See Remarks,Mill Valley,,,,,,,,,,,See Remarks,,,,,,
95743209,Residential Lot,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Mill Valley,,,,,,,,,,,Public Sewer,,,,,,
95763439,Residential Lot,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Mill Valley,,,,,,,,,,,Other,,,,,,
19259296,Duplex,1969,"Central, Fireplace(s), Radiant Floor",Ceiling Fan(s),3 Garage spaces,,,7,5,5,," Carpet, Wood"," Central, Fireplace(s), Radiant Floor",Ceiling Fan(s)," In Unit, Laundry Closet"," Formal Entry, Storage, Wet Bar",0,,,,5," Garage, Off Street, On Street",3,,,,,," Auto Sprinkler F&R, Garden, Landscape Back, Landscape Front",Offer As Is,MultiFamily,Contemporary,Duplex,," Composition,Tar/Gravel",,No,1969,220 Volts,Water District,Mill Valley,,,,,,,,," Dishwasher, Disposal, Electric Water Heater, Free-Standing Refrigerator, Gas Cooktop, Gas Water Heater, Microwave, Washer/Dryer",,Public Sewer,Carbon Monoxide Detector(s),Skylight(s),,,,
2077748502,Residential Lot,No Data,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,Mill Valley,,,,,,,,,,,Public Sewer,,,,,,
15508948,SINGLE_FAMILY,1940,"Other, Gas",None,Garage - Attached,,"$1,031",3,1,1,,," Other, Gas",None,,,," 1,550 sqft",,,,Garage - Attached,,,,,,,,,SingleFamily,,,,Metal,,No,1940,,,Millbrae,,,,,,,,,,,,,,,,,
15501156,SINGLE_FAMILY,1958,"Forced air, Electric, Gas",None,Garage - Attached,,"$1,169",3,2,2,,," Forced air, Electric, Gas",None,,,," 1,880 sqft",,,,Garage - Attached,,,,,,,,,SingleFamily,,,,Composition,,No,1958,,,Millbrae,,,,,,,,,,,,,,,,,
15501051,SINGLE_FAMILY,1958,"Forced air, Gas",None,Garage - Attached,,"$1,390",3,2,2,," Tile, Hardwood, Laminate"," Forced air, Gas",None," In Garage, Washer / Dryer",,," 1,150 sqft",,,,Garage - Attached,,,,,,,,,SingleFamily,,,,Composition,,No,1958,,,Millbrae,,,,,,,,," Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",,,,,," City, Mountain",,
15510906,Single Family Residence,1963,"Central, Gas, Natural Gas",None,2 Attached Garage spaces,,"$1,189",4,2,2," Closet, Ground Floor"," Laminate, Simulated Wood"," Central, Gas, Natural Gas",None," Cabinets, Electric Dryer Hookup, Gas Dryer Hookup, In Garage, Sink",Formal Entry," 1,930"," 1,930 sqft",1," Brick, Decorative, Gas, Gas Starter, Living Room",2," Attached, Covered, Enclosed, Garage Door Opener, Garage Faces Front, Interior Access, Side By Side, Side by Side, On Site (Single Family Only), Driveway",,,,,None,," Sprinklers In Front, Landscape Front, Low Maintenance, Shape Regular",Successor Trustee Sale,SingleFamily,Contemporary,Single Family Residence," Brick, Frame, Stucco",Tile,Updated/Remodeled,No,1963,220 Volts in Laundry,Public,Millbrae,,,,,,,$2.3M - $2.3M,1031 Exchange," Dishwasher, Disposal, Electric Cooktop, Free-Standing Refrigerator, Gas Water Heater, Plumbed For Ice Maker, Self Cleaning Oven, Dryer, Washer",Uncovered Patio," Public Sewer, Sewer in Street, See Remarks"," Carbon Monoxide Detector(s), Double Strapped Water Heater, Smoke Detector(s)",Window Coverings,," Bay, City Lights",,
96059013,CONDO,2009,Heat pump,Other,On-street,$498 monthly,$871,2,2,2,,,Heat pump,Other," Dryer, Washer, Inside",,," 1,147 sqft",,,,On-street,,,,,,,,,Condo,,,,Other,,No,2009,,,Millbrae,,,,,,,,," Dishwasher, Dryer, Freezer, Range / Oven, Refrigerator, Washer",,," Secured Garage / Parking, Controlled / Secured Access",,,,,
295378669,MULTI_FAMILY,1952,"Wall, Electric, Gas",None,On-street,,$601,,0,,,," Wall, Electric, Gas",None,,,," 4,410 sqft",,,,On-street,,,,,,,,,MultiFamily,,,,Composition,,No,1952,,,Millbrae,,,,,,,,,,,,,,,,,
2072269278,Single Family Residence,1980,Has Heating (Unspecified Type),Central Heat & Cool,1 Attached Garage space,$501 monthly,$833,2,2,,Breakfast Bar,Laminate,Has Heating (Unspecified Type),Central Heat & Cool,Laundry Closet,,936,936 sqft,1,,2," Carport, Attached",1,2,Two,2," In Ground, Private",,Corner Lot,,SingleFamily,,Single Family Residence,Stucco,Tile,,,1980,,Public,Millbrae,,$501 monthly," Pool, Spa/Hot Tub, Sauna, Fitness Center, Gated",,,,$780K - $780K,," Disposal, Dishwasher, Refrigerator",,Public Sewer,Security Gate,,,,,Second Floor
15510358,MULTI_FAMILY,1953,Wall,None,"Garage - Attached, Off-street",,$768,,0,,," Tile, Hardwood",Wall,None,,,," 2,736 sqft",,,," Garage - Attached, Off-street",,,,,,,,,MultiFamily,,,,Composition,,No,1953,,,Millbrae,,,,,,,,,,,,Other,,,,,
15501937,SINGLE_FAMILY,1949,"Forced air, Gas",Central,2 Parking spaces,,"$1,232",5,6,5,," Laminate, Linoleum / Vinyl"," Forced air, Gas",Central,,,," 2,030 sqft",,,2," On-street, , Garage",,,,,,Other,,,SingleFamily,,,,Composition,,No,1949,,,Millbrae,,,,,,,,," Microwave, Range / Oven, Refrigerator",,,,,,Territorial,,
15509869,Single Family Residence,1945,Central,None,1 Parking space,,"$1,179",3,2,2," Quartz, Tub w/Shower Over",Laminate,Central,None,In Garage,," 1,170"," 1,170 sqft",,,1," Enclosed, Independent, On Site (Single Family Only)",,,,,,,,Standard,SingleFamily,Ranch,Single Family Residence,Stucco,,Updated/Remodeled,No,1945,,Public,Millbrae,,,,,,,$1.4M - $1.4M,," Dishwasher, Disposal, Free-Standing Gas Oven, Free-Standing Refrigerator, Microwave",,Public Sewer,,,,,,
82958741,MULTI_FAMILY,1969,"Wall, Electric, Gas",None,"Carport, On-street",,$519,,0,,,," Wall, Electric, Gas",None,,,," 10,010 sqft",,,," Carport, On-street",,,,,,,,,MultiFamily,,,,Flat / Low Pitch,,No,1969,,,Millbrae,,,,,,,,,,,,,,,,,
15621093,CONDO,1973,Baseboard,None,Off-street,$478 monthly,$851,1,1,1,," Tile, Carpet, Laminate",Baseboard,None," Community Facility, In Utility Room",,,764 sqft,,,,Off-street,,,,,,,,,Condo,,,,Tar and Gravel,,No,1973,,,Millbrae,,,,,,,,," Dishwasher, Microwave, Range / Oven, Refrigerator",,,Secured Garage / Parking,,,,,
2069384864,CONDO,2007,Forced air,Central,2 Parking spaces,$612 monthly,$936,2,2,2,,,Forced air,Central,,,," 1,419 sqft",,Living Room,2," Garage - Detached, ",,,,,," Wood, Cement / Concrete",,Standard,Condo,,,,Tile,,No,2007,,,Millbrae,,,," Trash, Insurance, Water, Sewer, Management, Maintenance Structure, Other",,,,,,,,,,,,,
15626781,CONDO,1989,Forced air,None,No Data,$589 monthly,$896,2,2,2,," Tile, Carpet",Forced air,None," Washer / Dryer, Inside",,," 1,060 sqft",,,,,,,,,,,,,Condo,,,,Composition,,No,1989,,,Millbrae,,,,,,,,," Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",,,,,,,,
15509110,SINGLE_FAMILY,1947,"Other, Gas",None,2 Parking spaces,,$935,4,5,4,,Hardwood," Other, Gas",None,,,," 2,020 sqft",,,2," Garage - Attached, ",,,,,," Shingle (Not Wood), Stucco, Cement / Concrete",,,SingleFamily,,,,Shake / Shingle,,No,1947,,,Millbrae,,,,,,,,," Dryer, Washer",,,,,,Mountain,,
15626467,Condominium,1980,Forced Air,Other,Parking Spaces,$501 monthly,$809,2,2,2," Dishwasher, Garbage Disposal, Refrigerator",Laminate,Forced Air,Other,Laundry Closet,No Additional Rooms,926,926 sqft,1,Living Room,,Parking Spaces,,,One Story,1,Pool/Spa Combo,No Yard,Corner Lot,Standard,Condo,None,Condominium,Other,Composition Shingles,Existing,No,1980,No Solar,,Millbrae,Not Listed,$501 monthly," Clubhouse, Fitness Center, Pool, Sauna, Spa/Hot Tub, RV Parking"," Exterior Maintenance, Trash, Water/Sewer",CALL LISTING AGENT,858-382-0396,$749K - $749K," Cash,Conventional"," Dishwasher, Disposal, Refrigerator",,Public Sewer,,,,,,Ground Floor Location
118176006,CONDO,2010,"Other, Electric",Central,No Data,$398 monthly,$977,2,2,2,,Hardwood," Other, Electric",Central," Washer / Dryer, Inside",,," 1,330 sqft",,,,,,,,,,,,,Condo,,,,Other,,No,2010,,,Millbrae,,,,,,,,," Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",,,Secured Garage / Parking,,,,,
19478019,TOWNHOUSE,1971,"Forced air, Electric, Gas",None,Carport,$325 monthly,$659,3,2,1,,," Forced air, Electric, Gas",None,,,," 1,150 sqft",,,,Carport,,,,,,Cement / Concrete,,,Townhouse,,,wood frame,Shingle,,No,1971,,,Milpitas,,,,,,,,," Dryer, Washer",,,,,,,,
64899366,Townhouse,2005,Forced Air,Central Air,2 Attached Garage spaces,$318 monthly,$747,2,3,2," Counter - Stone, Dishwasher, Eat In Kitchen, Gas Range/Cooktop, Pantry"," Laminate, Carpet",Forced Air,Central Air,In Unit," Stone Counters, Eat-in Kitchen, Pantry, No Additional Rooms"," 1,104"," 1,104 sqft",0,None,2," Attached, Guest",2,2,Three or More Stories,3,Community,No Yard,No Lot,Standard,Townhouse,Contemporary,Townhouse,Stucco,Tile,Existing,No,2005,No Solar,Public,Milpitas,MILPITAS,$318 monthly," Clubhouse, Pool"," Common Area Maint, Exterior Maintenance, Hazard Insurance, Trash, Water/Sewer, Other, Insurance",PARC PLACE ASSOCIATION,925-243-1797,$825K - $825K," Cash,Conventional"," Dishwasher, Gas Range",,Public Sewer,,,,,,
19480754,Detached,1966,"Forced Air, Fireplace(s)","Ceiling Fan(s), Central Air, Whole House Fan",2 Attached Garage spaces,,$744,4,3,3," Counter - Tile, Range/Oven Free Standing"," Hardwood, Other"," Forced Air, Fireplace(s)"," Ceiling Fan(s), Central Air, Whole House Fan",Hookups Only," Tile Counters, Family Room, Formal Dining Room, Solarium, Storage"," 2,001"," 2,001 sqft",1,Family Room,2," Attached, Converted Garage",2,2,Two Story,2,None,Storage,Regular,Standard,SingleFamily,Contemporary,Detached,Stucco,Composition Shingles,Existing,No,1966,Photovoltaics Third-Party Owned,Public,Milpitas,MILPITAS,,,,,,$1.5M - $1.5M," Cash,Conventional"," Gas Water Heater, Free-Standing Range"," Deck, Covered",Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)",,,,,
122249419,CONDO,2013,"Forced air, Electric, Gas",Central,Garage - Attached,$274 monthly,$677,3,3,3,," Tile, Carpet, Laminate"," Forced air, Electric, Gas",Central," Upper Floor, Washer / Dryer, Inside",,," 1,622 sqft",,,,Garage - Attached,,,,,,,,,Condo,,,wood frame,Composition,,No,2013,,,Milpitas,,,,,,,,," Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer",,,,,,,,
